Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Carp,buffalo-smallmouth,US-Louisiana,0.168,26,(State of Louisiana 2011)
Carp,buffalo-smallmouth,US-Louisiana,0.219,17,(State of Louisiana 2011)
Carp,carp,"(market, US)",0.111,14,(USFDA 2011)
Carp,carp-bighead,"(market, US-NYC)",0.030,11,(McKelvey et al. 2010; McKelvey unpublished data)
Carp,carp-buffalo,"(market, US-NYC)",0.042,15,(McKelvey et al. 2010; McKelvey unpublished data)
Carp,carp-common,US,0.132,263,(USEPA 2011a)
Carp,carp-common,US-Atlantic,0.066,4,"(Delaware River Basin Commission, 2011)"
Carp,carp-common,US-Delaware,0.134,14,(State of Delaware 2010)
Carp,carp-common,US-New Jersey,0.156,6,(State of New Jersey 2008)
Carp,carp-common,US-Maryland,0.093,1,(State of Maryland 2007)
Carp,carp-common,US-North Carolina,0.430,1,(State of North Carolina 2011)
Carp,carp-common,US-Virginia,0.069,35,(State of Virginia 2009)
Catfish,Bullhead,US-Virginia,0.005,3,(State of Virginia 2009)
Catfish,bullhead-brown,US,0.040,4,(Hall et al. 1978)
Catfish,bullhead-brown,US-Delaware,0.072,5,(State of Delaware 2010)
Catfish,bullhead-brown,US-North Carolina,0.141,7,(State of North Carolina 2011)
Catfish,bullhead-brown,US-Virginia,0.115,15,(State of Virginia 2009)
Catfish,bullhead-brown ,US,0.132,105,(USEPA 2011a)
Catfish,catfish (wild),US-Maryland,0.073,2,(State of Maryland 2007)
Catfish,catfish (wild),US-South Carolina,0.075,2,(Koli et al. 1977)
Catfish,catfish-blue (wild),US,0.124,135,(USEPA 2011a)
Catfish,catfish-blue (wild),US-Gulf,0.135,13,(USEPA 2011c)
Catfish,catfish-blue (wild),US-North Carolina,0.234,15,(State of North Carolina 2011)
Catfish,catfish-blue (wild),US-Louisiana,0.138,114,(State of Louisiana 2011)
Catfish,catfish-blue (wild),US-Louisiana,0.088,169,(State of Louisiana 2011)
Catfish,catfish-blue (wild),US-Virginia,0.121,40,(State of Virginia 2009)
Catfish,catfish-channel (wild),US,0.097,249,(USEPA 2011a)
Catfish,catfish-channel (wild),US,0.172,20,(Hall et al. 1978)
Catfish,catfish-channel (wild),US-Atlantic,0.020,5,(USEPA 2011b)
Catfish,catfish-channel (wild),US-New Jersey,0.231,3,(State of New Jersey 2008)
Catfish,catfish-channel (wild),US-Maryland,0.086,2,(State of Maryland 2007)
Catfish,catfish-channel (wild),US-Atlantic,0.218,22,"(Delaware River Basin Commission, 2011)"
Catfish,catfish-channel (wild),US-Delaware,0.118,18,(State of Delaware 2010)
Catfish,catfish-channel (wild),US-North Carolina,0.190,22,(State of North Carolina 2011)
Catfish,catfish-channel (wild),US-Louisiana,0.118,30,(State of Louisiana 2011)
Catfish,catfish-channel (wild),US-Louisiana,0.098,43,(State of Louisiana 2011)
Catfish,catfish-channel (wild),US-Virginia,0.128,57,(State of Virginia 2009)
Catfish,catfish-channel (wild),US-Georgia,0.160,50,(Burger et al. 2002)
Catfish,catfish-flathead (wild),US-Louisiana,0.329,50,(USEPA 2011a)
Catfish,catfish-flathead (wild),US-Atlantic,0.114,1,"(Delaware River Basin Commission, 2011)"
Catfish,catfish-flathead (wild),US-North Carolina,0.714,10,(State of North Carolina 2011)
Catfish,catfish-flathead (wild),US-Louisiana,0.278,52,(State of Louisiana 2011)
Catfish,catfish-flathead (wild),US-Louisiana,0.196,122,(State of Louisiana 2011)
Catfish,catfish-flathead (wild),US-Virginia,0.088,11,(State of Virginia 2009)
Catfish,catfish,"(market, Canada)",0.150,16,(Health Canada 2007)
Catfish,catfish,"(market, US-WA)",0.009,23,(USEPA 2005)
Catfish,catfish,"(market, US-NC)",0.010,2,(Levine et al. 2005)
Catfish,catfish-farmed,"(market, US)",0.026,57,(USFDA 2011)
Catfish,catfish-farmed,US,0.008,257,(Santerre et al. 2001)
Catfish,catfish-farmed (basa),"(market, Canada)",0.020,5,(Health Canada 2007)
Catfish,"catfish-farmed, sutchi ",SE Asia ,0.030,1,(Orban et al. 2008)
Clams,clams,Canada-Bay of Fundy,0.010,4,(Legrand et al. 2005)
Clams,clams,"(market, Spain)",0.023,1,(Bordajandi et al. 2004)
Clams,clams,"(market, Canada)",0.030,40,(Health Canada 2007)
Clams,clams,(market-Hong Kong China),0.015,35,(Tam and Mok 1991)
Clams,clams,"(market, Spain)",0.020,3,(Domingo et al. 2007)
Clams,clams,US,0.048,19,(USEPA 2011a)
Clams,clams,"(market, US)",0.012,15,(USFDA 2011)
Clams,clams-bloody,"(market, Japan)",0.010,22,(Japanese Ministry of Health 2003)
Clams,clams-butter,US-Pacific NW,0.055,29,(Hall et al. 1978)
Clams,clams-carpet shell grooved,China-Bohai Sea,0.009,14,(Wang et al. 2005)
Clams,clams-cockle,US,0.253,10,(USEPA 2011a)
Clams,clams-cockle,US-Oregon,0.019,71,(Caldwell and Buhler 1983)
Clams,clams-cockle,"(market, Spain)",0.067,40,(Gutierrez et al. 2006)
Clams,clams-cockle (Greenland),"(market, Canada)",0.050,1,(Health Canada 2007)
Clams,clams-gaper,US-Oregon,0.009,1,(Caldwell and Buhler 1983)
Clams,clams-geoduck,"(market, Japan)",0.010,4,(Japanese Ministry of Health 2003)
Clams,clams-geoduck,US-Alaska,0.041,7,(State of Alaska Department of Environmental Conservation 2009)
Clams,clams-hard,"(market, Japan)",0.027,13,(Japanese Ministry of Health 2003)
Clams,clams-hard,"(market, Canada)",0.050,1,(Health Canada 2007)
Clams,clams-hard,US-Delaware,0.020,2,(State of Delaware 2010)
Clams,clams-hard,US-Atlantic,0.300,1,"(Delaware River Basin Commission, 2011)"
Clams,clams-hard,US,0.053,141,(Hall et al. 1978)
Clams,clams-hard,US-Maryland,0.027,11,(State of Maryland 2007)
Clams,clams-hard,US-Virginia,0.005,12,(State of Virginia 2009)
Clams,clams-hard Asiatic,China-Bohai Sea,0.009,14,(Wang et al. 2005)
Clams,clams-Pacific littleneck,US-Oregon,0.028,10,(Caldwell and Buhler 1983)
Clams,clams-Pacific littleneck,US,0.017,4,(USEPA 2011a)
Clams,clams-Pacific littleneck,US-Alaska,0.011,4,(State of Alaska Department of Environmental Conservation 2009)
Clams,clams-softshell,US-Oregon,0.025,139,(Caldwell and Buhler 1983)
Clams,clams-softshell,US,0.086,19,(Hall et al. 1978)
Clams,clams-softshell,US-Maryland,0.008,313,(State of Maryland 2007)
Clams,clams-surf ,China-Bohai Sea,0.009,14,(Wang et al. 2005)
Clams,clam-surf,"(market, Japan)",0.017,13,(Japanese Ministry of Health 2003)
Cod,cod,"(market, US-NJ)",0.110,7,(Burger and Gochfeld 2005)
Cod,cod,"(market, US-WA)",0.115,33,(USEPA 2005)
Cod,cod,"(market, Canada)",0.060,34,(Health Canada 2007)
Cod,Cod,"(market, US)",0.108,90,(USFDA 2011)
Cod,cod-Atlantic,"(market, Italy)",0.118,6,(Plessi et al. 2001)
Cod,cod-Atlantic,"(market, Japan)",0.040,8,(Nakagawa et al. 1997)
Cod,cod-Atlantic,Canada-Bay of Fundy,0.127,20,(Legrand et al. 2005)
Cod,cod-Atlantic,Norway,0.162,10,(Julshamn and Brenna 2002)
Cod,cod-Atlantic (farmed),Canada-Atlantic,0.034,24,(Jardine et al. 2009)
Cod,cod-Atlantic (wild),Barents Sea,0.052,11,(Zauke et al. 1999)
Cod,cod-Atlantic (wild),Canada-Atlantic,0.085,22,(Hellou et al. 1992b)
Cod,cod-Atlantic (wild),Norway,0.070,1198,(Green and Knutzen 2003)
Cod,cod-Atlantic (wild),Norway,0.035,100,(Julshamn et al. 2004)
Cod,cod-Atlantic (wild),US,0.113,106,(Hall et al. 1978)
Cod,cod-Atlantic (wild),Canada-Atlantic,0.038,15,(Jardine et al. 2009)
Cod,cod-Pacific,"(market, US)",0.072,10,(USFDA 2011)
Cod,cod-Pacific,US-Washington,0.109,29,(USEPA 2011a)
Cod,cod-Pacific,"(market, Korea)",0.019,15,(Oh et al. 2008)
Cod,cod-Pacific,US-Alaska,0.173,141,(Burger et al. 2007a)
Cod,cod-Pacific,"(market, Japan)",0.125,16,(Japanese Ministry of Health 2003)
Cod,cod-Pacific,US,0.176,61,(Hall et al. 1978)
Cod,cod-Pacific,US-Alaska,0.130,145,(State of Alaska Department of Environmental Conservation 2009)
Cod,cod-Pacific (Alaskan),"(market, US)",0.127,9,(USFDA 2011)
Cod,cod-Pacific (Grey),"(market, US)",0.162,5,(USFDA 2011)
Crab,crab,"(market, US)",0.049,68,(USFDA 2011)
Crab,crab,Canada-Bay of Fundy,0.020,9,(Legrand et al. 2005)
Crab,crab,"(market, Hong Kong China)",0.015,8,(Tam and Mok 1991)
Crab,crab,"(market, UK)",0.060,12,(Food Standards Agency 2006)
Crab,crab,"(market, Canada)",0.054,10,(Dabeka et al. 2004)
Crab,crab (claws),"(market, Denmark)",0.077,8,(Petersen and Mortensen 1994)
Crab,"crab (Dungeness, rock, snow)","(market, Canada)",0.090,19,(Health Canada 2007)
Crab,crab meat,Fiji,0.050,3,(Kumar et al. 2004)
Crab,crab-blue,"(market, US)",0.146,12,(USFDA 2011)
Crab,crab-blue,US,0.153,92,(Hall et al. 1978)
Crab,crab-blue,"(market, US-NYC)",0.017,14,(McKelvey et al. 2010; McKelvey unpublished data)
Crab,crab-blue,US-Atlantic,0.084,8,"(Delaware River Basin Commission, 2011)"
Crab,crab-blue,US-Atlantic,0.043,11,(USEPA 2007)
Crab,crab-blue,US-Atlantic,0.023,20,(USEPA 2006a)
Crab,crab-blue,US-Atlantic,0.044,26,(USEPA 2008)
Crab,crab-blue,US-Atlantic,0.298,140,(USEPA 2011a)
Crab,crab-blue,US-Maryland,0.021,196,(State of Maryland 2007)
Crab,crab-blue,US-New Jersey,0.165,37,(State of New Jersey 2004)
Crab,crab-blue,US-New Jersey,0.080,8,(State of New Jersey 2008)
Crab,crab-blue,US-Virginia,0.047,52,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.061,2,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.045,14,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.020,13,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.014,3,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.083,28,(State of Virginia 2009)
Crab,crab-blue,US-Virginia,0.016,45,(State of Virginia 2009)
Crab,crab-blue,US-Gulf,0.069,84,(USEPA 2011a)
Crab,crab-blue,US-Louisiana,0.102,1,(Mueller et al. 1989)
Crab,crab-blue,US-Gulf,0.302,8,(USEPA 2006b)
Crab,crab-blue,US-Gulf,0.156,27,(Karouna-Renier et al. 2007)
Crab,crab-blue,US-Florida (Gulf-Pensacola),0.227,18,(Lewis et al. 2004)
Crab,crab-blue,US-Louisiana,0.019,1,(State of Louisiana 2011)
Crab,crab-blue,US-Louisiana,0.079,1,(State of Louisiana 2011)
Crab,crab-blue,"(market, Italy)",0.120,3,(Plessi et al. 2001)
Crab,crab-king,"(market, US)",0.005,1,(USFDA 2011)
Crab,crab-king,"(market, Japan)",0.010,2,(Nakagawa et al. 1997)
Crab,crab-king,US,0.092,28,(Hall et al. 1978)
Crab,crab-king (Alaskan),"(market, Japan)",0.042,5,(Japanese Ministry of Health 2003)
Crab,crab-king (blue) ,"(market, Japan)",0.009,1,(Japanese Ministry of Health 2003)
Crab,crab-king (golden),US-Alaska,0.043,14,(Burger et al. 2007b)
Crab,crab-king (red),US-Alaska,0.011,146,(Jewett and Naidu 2000)
Crab,crab-king (red),US-Alaska,0.101,5,(Burger et al. 2007b)
Crab,crab-king (red),US,0.010,1,(Yamashita et al. 2005)
Crab,crab-snow,"(market, US)",0.092,12,(USFDA 2011)
Crab,crab-snow,"(market, Canada)",0.223,4,(Dabeka et al. 2004)
Crab,crab-snow,"(market, Japan)",0.048,4,(Japanese Ministry of Health 2003)
Crab,crab-deepsea red,US-North Atlantic,0.180,25,(Hall et al. 1978)
Crab,crab-Dungeness,US,0.192,9,(USEPA 2011a)
Crab,crab-Dungeness,"(market, Canada)",0.059,8,(Dabeka et al. 2004)
Crab,crab-Dungeness,US-Washington (Puget Sound),0.111,3,(Bloom 1992)
Crab,crab-Dungeness,US-Oregon,0.108,180,(Caldwell and Buhler 1983)
Crab,crab-Dungeness,US-California,0.069,7,(San Francisco Public Utilities Commission 2006)
Crab,crab-Dungeness,US,0.175,50,(Hall et al. 1978)
Crab,crab-Dungeness,US-Washington,0.051,7,(Lower Duwamish Waterway Group 2005)
Crab,crab-jonah,"(market, Canada)",0.043,2,(Dabeka et al. 2004)
Crab,crab-tanner,US,0.148,49,(Hall et al. 1978)
Crawfish,crawfish,US,0.210,1,(USEPA 2011a)
Crawfish,crawfish,"(market, US)",0.033,46,(USFDA 2011)
Crawfish,crawfish,"(market, Canada)",0.100,1,(Health Canada 2007)
Crawfish,crawfish,US,0.025,38,(Santerre et al. 2001)
Crawfish,crawfish (fresh),US-Louisiana,0.021,24,(Schuler et al. 2000)
Crawfish,crawfish (processed),US-Louisiana,0.025,48,(Schuler et al. 2000)
Crawfish,crawfish (processed),China,0.054,48,(Schuler et al. 2000)
Croaker,croaker,US,0.103,38,(USEPA 2011a)
Croaker,croaker,"(market, US-NJ)",0.140,14,(Burger and Gochfeld 2005)
Croaker,croaker,US-Louisiana,0.055,2,(State of Louisiana 2011)
Croaker,croaker,US-Virginia,0.017,37,(State of Virginia 2009)
Croaker,croaker-Atlantic,US-Delaware,0.106,5,(State of Delaware 2010)
Croaker,croaker-Atlantic,US-Atlantic,0.030,18,(USEPA 2007)
Croaker,croaker-Atlantic,US-Gulf,0.057,171,(USEPA 2011c)
Croaker,croaker-Atlantic,US-Atlantic,0.011,9,(USEPA 2011b)
Croaker,croaker-Atlantic,US,0.088,32,(USEPA 2011a)
Croaker,croaker-Atlantic,US,0.050,1,(USEPA 2011a)
Croaker,croaker-Atlantic,US-Gulf,0.124,39,(USEPA 2006b)
Croaker,croaker-Atlantic,US-Louisiana,0.050,1,(Mueller et al. 1989)
Croaker,croaker-Atlantic,US-Delaware,0.078,13,(State of Delaware 2010)
Croaker,croaker-Atlantic,"(market, US)",0.056,44,(USFDA 2011)
Croaker,croaker-Atlantic,US,0.072,92,(Hall et al. 1978)
Croaker,croaker-Atlantic,US-New Jersey,0.146,5,(State of New Jersey 2004)
Croaker,croaker-Atlantic,US-North Carolina,0.060,24,(State of North Carolina 2011)
Croaker,croaker-Atlantic,US-Virginia,0.058,23,(State of Virginia 2009)
Croaker,croaker-Atlantic,US-Virginia,0.032,13,(State of Virginia 2009)
Croaker,croaker-Atlantic,US-Virginia,0.093,3,(State of Virginia 2009)
Croaker,croaker-Atlantic,US-Virginia,0.109,28,(State of Virginia 2009)
Croaker,croaker-Atlantic,US-Virginia,0.077,4,(State of Virginia 2009)
Croaker,croaker-atlantic,US-Florida,0.061,47,(Adams et al. 2003)
Croaker,croaker-white,US-California,0.099,15,(Meador et al. 2005)
Croaker,croaker-white,US-Pacific,0.040,6,(USEPA 2004)
Croaker,croaker-white,US,0.121,44,(USEPA 2011a)
Croaker,croaker-white,"(market, US)",0.287,15,(USFDA 2011)
Croaker,croaker-white,US-California,0.105,198,(USEPA Region 9 and NOAA 2007)
Croaker,croaker-white,US-California,0.214,25,(Fairey et al. 1997)
Croaker,croaker-white,US-California,0.206,65,(San Francisco Estuary Institute 2007)
Eel,eel,"(market, Canada)",0.243,107,(Health Canada 2007)
Eel,"eel (American, conger, spotted) (wild)","(market, Canada)",0.190,52,(Health Canada 2007)
Eel,eel- conger (wild),"(market, Japan)",0.210,6,(Nakagawa et al. 1997)
Eel,eel-American (wild),US-Atlantic,0.170,8,"(Delaware River Basin Commission, 2011)"
Eel,eel-American (wild),US,0.206,280,(USEPA 2011a)
Eel,eel-American (wild),US,0.211,30,(Hall et al. 1978)
Eel,eel-American (wild),US-Delaware,0.085,5,(State of Delaware 2010)
Eel,eel-American (wild),US-GA/SC,0.150,24,(Burger et al. 2001)
Eel,eel-American (wild),US-New Jersey,0.105,6,(Horwitz et al. 2005)
Eel,eel-American (wild),US-New Jersey,0.197,26,(State of New Jersey 2004)
Eel,eel-American (wild),US-New Jersey,0.234,33,(State of New Jersey 2008)
Eel,eel-American (wild),US-Louisiana,0.280,1,(State of Louisiana 2011)
Eel,eel-American (wild),US-Virginia,0.085,10,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.592,2,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.362,8,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.067,2,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.176,6,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.108,3,(State of Virginia 2009)
Eel,eel-American (wild),US-Virginia,0.054,31,(State of Virginia 2009)
Eel,eel-Japanese (wild),Japan,0.190,52,(Yamashita et al. 2006)
Eel,eel-conger (wild),US,0.030,1,(USEPA 2011a)
Eel,eel-conger (wild),Azores,0.214,5,(Andersen and Depledge 1997)
Eel,eel-conger (wild),Azores,0.338,35,(Magalhaes et al. 2007)
Eel,eel-conger (wild),Adriatic Sea,0.800,10,(Storelli et al. 2007)
Eel,eel-conger (wild),US,0.035,1,(Hall et al. 1978)
Eel,eel-conger (wild),Mediterranean,0.670,8,(Della Torre et al. 2010)
Eel,eel-European (wild),North of Luxembourg rivers,0.263,14,(Boscher et al. 2010)
Eel,eel-farmed,"(market, US-NYC)",0.181,8,(McKelvey et al. 2010; McKelvey unpublished data)
Eel,eel-farmed (unagi),"(market, US-NYC)",0.097,8,(McKelvey et al. 2010; McKelvey unpublished data)
Eel,eel-Japanese (farmed),"(market, Japan)",0.052,60,(Japanese Ministry of Health 2003)
Eel,eel-Japanese (farmed),"(market, Hong Kong)",0.060,5,(Chung et al. 2008)
Eel,eel-Japanese (farmed),"Taiwan, China, Japan",0.067,117,(Yamashita et al. 2006)
Eel,eel-Japanese conger (farmed),"(market, Japan)",0.049,22,(Japanese Ministry of Health 2003)
Flounder,flounder,"(market, US-NJ)",0.050,55,(Burger and Gochfeld 2005)
Flounder,flounder,Bermuda,0.060,1,(Dewailly et al. 2008)
Flounder,flounder,US,0.219,19,(USEPA 2011a)
Flounder,flounder,"(market, US)",0.056,60,(USFDA 2011)
Flounder,flounder,Canada-Bay of Fundy,0.030,15,(Legrand et al. 2005)
Flounder,flounder,"(market, US-WA)",0.147,18,(USEPA 2005)
Flounder,flounder,US-Virginia,0.018,5,(State of Virginia 2009)
Flounder,flounder,"(market, Canada)",0.060,22,(Health Canada 2007)
Flounder,flounder-Brazilian,Brazil,0.047,4,(Kutter et al. 2009)
Flounder,flounder-four spot,US-North Atlantic,0.112,18,(Hall et al. 1978)
